LOCATION_ID,LATITUDE,LONGITUDE
26629,6.8320064944,79.868611576
26630,6.8320064944,79.877594688
26631,6.8320064944,79.8865778
26633,6.8320064944,79.904544024
26634,6.8320064944,79.913527136
26656,6.8320064944,80.1111556
26674,6.8320064944,80.272851616
26708,6.8320064944,80.578277424
26752,6.8320064944,80.973534352
26754,6.8320064944,80.991500576
26755,6.8320064944,81.000483688
26782,6.8320064944,81.243027712
26846,6.8320064944,81.81794688
26879,6.8409896064,79.859628464
26880,6.8409896064,79.868611576
26881,6.8409896064,79.877594688
26882,6.8409896064,79.8865778
26883,6.8409896064,79.895560912
26884,6.8409896064,79.904544024
26885,6.8409896064,79.913527136
26886,6.8409896064,79.922510248
26887,6.8409896064,79.93149336
26889,6.8409896064,79.949459584
26890,6.8409896064,79.958442696
26891,6.8409896064,79.967425808
26892,6.8409896064,79.97640892
26893,6.8409896064,79.985392032
26894,6.8409896064,79.994375144
26895,6.8409896064,80.003358256
26897,6.8409896064,80.02132448
26905,6.8409896064,80.093189376
26938,6.8409896064,80.389632072
26964,6.8409896064,80.623192984
27006,6.8409896064,81.000483688
27042,6.8409896064,81.32387572
27098,6.8409896064,81.826929992
27130,6.8499727184,79.859628464
27131,6.8499727184,79.868611576
27132,6.8499727184,79.877594688
27133,6.8499727184,79.8865778
27134,6.8499727184,79.895560912
27135,6.8499727184,79.904544024
27136,6.8499727184,79.913527136
27137,6.8499727184,79.922510248
27138,6.8499727184,79.93149336
27142,6.8499727184,79.967425808
27143,6.8499727184,79.97640892
27145,6.8499727184,79.994375144
27148,6.8499727184,80.02132448
27149,6.8499727184,80.030307592
27152,6.8499727184,80.057256928
27155,6.8499727184,80.084206264
27175,6.8499727184,80.263868504
27209,6.8499727184,80.569294312
27247,6.8499727184,80.910652568
27381,6.8589558304,79.859628464
27382,6.8589558304,79.868611576
27383,6.8589558304,79.877594688
27384,6.8589558304,79.8865778
27386,6.8589558304,79.904544024
27387,6.8589558304,79.913527136
27388,6.8589558304,79.922510248
27389,6.8589558304,79.93149336
27390,6.8589558304,79.940476472
27392,6.8589558304,79.958442696
27395,6.8589558304,79.985392032
27404,6.8589558304,80.06624004
27415,6.8589558304,80.165054272
27427,6.8589558304,80.272851616
27489,6.8589558304,80.82980456
27494,6.8589558304,80.87472012
27498,6.8589558304,80.910652568
27518,6.8589558304,81.090314808
27632,6.8679389424,79.859628464
27633,6.8679389424,79.868611576
27634,6.8679389424,79.877594688
27635,6.8679389424,79.8865778
27636,6.8679389424,79.895560912
27637,6.8679389424,79.904544024
27638,6.8679389424,79.913527136
27639,6.8679389424,79.922510248
27640,6.8679389424,79.93149336
27642,6.8679389424,79.949459584
27643,6.8679389424,79.958442696
27645,6.8679389424,79.97640892
27646,6.8679389424,79.985392032
27647,6.8679389424,79.994375144
27649,6.8679389424,80.012341368
